seqnum,sex,province,age,DEP_TOTAL
377,ชาย,บุรีรัมย์,68,3094.16
378,ชาย,บุรีรัมย์,59,41817.88
379,ชาย,บุรีรัมย์,53,2967.45
380,ชาย,บุรีรัมย์,62,1453.22
381,ชาย,บุรีรัมย์,51,3973.19
382,หญิง,บุรีรัมย์,43,5914.58
383,หญิง,บุรีรัมย์,49,29658.82
384,ชาย,อุตรดิตถ์,47,4495.88
385,หญิง,บุรีรัมย์,61,21672.47
386,หญิง,บุรีรัมย์,65,0
387,หญิง,บุรีรัมย์,69,4023.87
388,หญิง,บุรีรัมย์,64,357.62
389,หญิง,บุรีรัมย์,59,20386.82
390,หญิง,บุรีรัมย์,59,27973.33
391,ชาย,กาฬสินธุ์,83,17347.97
392,หญิง,บุรีรัมย์,60,3982.37
393,หญิง,บุรีรัมย์,60,53105.26
394,ชาย,บุรีรัมย์,48,5801.89
395,ชาย,บุรีรัมย์,48,4008.42
396,หญิง,บุรีรัมย์,72,67538.38
397,หญิง,บุรีรัมย์,50,2034.45
398,ชาย,บุรีรัมย์,51,17445.57
399,หญิง,บุรีรัมย์,64,13438.3
400,หญิง,บุรีรัมย์,66,1.35
401,ชาย,บุรีรัมย์,50,1996.97
402,ชาย,บุรีรัมย์,58,6103.88
403,ชาย,บุรีรัมย์,64,26208.35
404,หญิง,บุรีรัมย์,59,22340.87
405,หญิง,บุรีรัมย์,57,256008.86
406,หญิง,บุรีรัมย์,64,17178.29
407,หญิง,บุรีรัมย์,73,17.12
408,หญิง,บุรีรัมย์,48,23197.96
409,หญิง,บุรีรัมย์,48,6079.31
410,หญิง,บุรีรัมย์,71,74.71
411,หญิง,บุรีรัมย์,50,33496.61
412,ชาย,บุรีรัมย์,57,25127.37
413,ชาย,บุรีรัมย์,75,17584.78
414,ชาย,บุรีรัมย์,56,465.18
415,ชาย,บุรีรัมย์,51,16044.79
416,หญิง,บุรีรัมย์,47,1991.54
417,หญิง,บุรีรัมย์,45,176.66
418,หญิง,บุรีรัมย์,51,1991.84
419,หญิง,บุรีรัมย์,51,138764.25
420,ชาย,บุรีรัมย์,47,5549.91
421,ชาย,บุรีรัมย์,52,22011.14
422,ชาย,บุรีรัมย์,51,3924.78
423,หญิง,บุรีรัมย์,55,1991.54
424,หญิง,บุรีรัมย์,68,600.85
425,หญิง,บุรีรัมย์,63,6572.83
426,หญิง,บุรีรัมย์,71,4326.59
427,หญิง,บุรีรัมย์,64,10354.67
428,ชาย,บุรีรัมย์,58,33337.86
429,ชาย,บุรีรัมย์,63,3910.46
430,ชาย,บุรีรัมย์,66,3906.98
431,หญิง,บุรีรัมย์,60,68.74
432,ชาย,บุรีรัมย์,76,4487.53
433,ชาย,บุรีรัมย์,48,1991.54
434,ชาย,บุรีรัมย์,57,2696.26
435,ชาย,บุรีรัมย์,62,49514.04
436,ชาย,บุรีรัมย์,67,3990.77
437,หญิง,บุรีรัมย์,73,21854.95
438,ชาย,บุรีรัมย์,63,30866.88
439,ชาย,บุรีรัมย์,62,70037.27
440,ชาย,บุรีรัมย์,64,2203.34
441,ชาย,บุรีรัมย์,54,1990.21
442,ชาย,บุรีรัมย์,69,1102.27
443,หญิง,บุรีรัมย์,49,21393.53
444,หญิง,บุรีรัมย์,63,221.88
445,หญิง,บุรีรัมย์,43,54.06
446,หญิง,บุรีรัมย์,73,79.02
447,หญิง,บุรีรัมย์,43,6927.64
448,ชาย,บุรีรัมย์,61,6199.32
449,ชาย,กาฬสินธุ์,79,0
450,ชาย,บุรีรัมย์,62,36935.35
451,ชาย,บุรีรัมย์,64,7180.16
452,ชาย,บุรีรัมย์,52,4871.95
453,หญิง,บุรีรัมย์,49,16302.82
454,หญิง,บุรีรัมย์,60,515.29
455,ชาย,บุรีรัมย์,57,7896.16
456,ชาย,บุรีรัมย์,55,39012.31
457,หญิง,บุรีรัมย์,54,45773.42
458,ชาย,บุรีรัมย์,51,29511.02
459,ชาย,บุรีรัมย์,60,44409.51
460,ชาย,บุรีรัมย์,54,12666.2
461,ชาย,บุรีรัมย์,51,0
462,หญิง,บุรีรัมย์,75,4557.39
463,ชาย,บุรีรัมย์,76,9435.68
464,หญิง,บุรีรัมย์,47,0
465,หญิง,บุรีรัมย์,46,2216.33
466,ชาย,บุรีรัมย์,52,0.84
467,ชาย,ร้อยเอ็ด,51,0
468,ชาย,บุรีรัมย์,67,553.14
469,หญิง,ไม่พบในฐานข้อมูล,77,1086.5
470,ชาย,บุรีรัมย์,48,12726.53
471,ชาย,บุรีรัมย์,56,3936.43
472,ชาย,บุรีรัมย์,53,29.84
473,หญิง,บุรีรัมย์,50,13573.8
474,หญิง,บุรีรัมย์,51,1642.84
475,ชาย,บุรีรัมย์,75,61247.73
476,หญิง,บุรีรัมย์,50,306649.46
477,ชาย,บุรีรัมย์,55,12823.98
478,ชาย,บุรีรัมย์,42,2479.14
