seqnum,sex,province,age,DEP_TOTAL,Cluster
454,0,10,60,515.29,0
455,1,10,57,7896.16,0
456,1,10,55,39012.31,0
457,0,10,54,45773.42,0
458,1,10,51,29511.02,0
459,1,10,60,44409.51,0
460,1,10,54,12666.2,0
461,1,10,51,0.0,0
462,0,10,75,4557.39,0
463,1,10,76,9435.68,0
464,0,10,47,0.0,0
465,0,10,46,2216.33,0
466,1,10,52,0.84,0
467,1,15,51,0.0,0
468,1,10,67,553.14,0
469,0,24,77,1086.5,0
470,1,10,48,12726.53,0
471,1,10,56,3936.43,0
472,1,10,53,29.84,0
473,0,10,50,13573.8,0
474,0,10,51,1642.84,0
475,1,10,75,61247.73,0
476,0,10,50,306649.46,2
477,1,10,55,12823.98,0
478,1,10,42,2479.14,0
479,1,10,63,6205.87,0
480,0,10,48,1979.14,0
481,0,10,45,1979.14,0
482,0,10,42,7532.9,0
483,1,10,46,4140.33,0
484,0,10,62,8878.05,0
485,1,10,60,1979.76,0
486,0,10,57,2309.92,0
487,0,10,57,14288.95,0
488,0,10,55,26892.38,0
489,1,1,90,902.39,0
490,1,10,57,231.46,0
491,0,10,53,0.57,0
492,0,10,64,3080.24,0
493,0,10,48,440485.53,2
494,1,10,56,73079.1,3
495,0,10,50,60650.43,0
496,0,10,61,5151.91,0
497,0,10,69,11513.87,0
498,0,10,58,137.55,0
499,0,10,64,0.33,0
500,0,10,57,1048.73,0
501,0,10,62,70089.23,3
502,1,10,52,0.0,0
503,0,10,43,11421.79,0
504,0,10,67,24973.33,0
505,1,10,47,1293.63,0
506,0,10,49,8889.07,0
507,0,10,53,1972.69,0
508,0,10,41,3633.28,0
509,0,10,64,1990.09,0
510,0,10,53,4103.68,0
511,1,10,69,33187.25,0
512,0,10,41,2716.07,0
513,0,10,51,592.79,0
514,0,10,43,394.91,0
515,0,10,59,9457.67,0
516,1,10,52,27697.77,0
517,1,10,55,2334.85,0
518,1,10,56,1752.59,0
519,1,10,50,2804.6,0
520,0,10,39,37598.24,0
521,0,10,63,23694.35,0
522,1,10,56,12055.22,0
523,1,10,46,763395.63,4
524,0,10,50,23304.14,0
525,1,10,65,19808.04,0
526,1,10,52,2030.03,0
527,1,10,48,2142.35,0
528,1,14,52,2219.67,0
529,1,10,48,183.57,0
530,1,10,63,169144.27,3
531,1,10,60,2658.95,0
532,1,10,50,1906.63,0
533,0,10,64,3840.82,0
534,0,10,54,3863.85,0
535,1,10,52,14353.22,0
536,1,10,59,4381.72,0
537,1,10,49,3315.37,0
538,0,10,55,3105.6,0
539,0,21,50,1983.43,0
540,1,10,58,17217.36,0
541,1,10,49,2198.24,0
542,1,10,53,6.66,0
543,0,10,50,15575.67,0
544,0,10,57,1586.18,0
545,0,10,68,2809.39,0
546,0,4,52,3704.57,0
547,1,8,69,220.16,0
548,0,10,67,1373.19,0
549,0,10,56,29.0,0
550,0,10,64,111745.18,3
551,0,10,67,4003.81,0
552,0,10,64,3217.34,0
553,1,10,63,0.0,0
554,0,10,59,226433.51,3
555,1,10,69,2301.96,0
556,0,10,59,5289.34,0
557,0,10,50,38080.22,0
558,0,10,49,175107.04,3
559,1,10,66,10382.75,0
560,0,10,61,56.77,0
561,0,10,47,7721.22,0
562,0,10,62,6127.6,0
563,0,10,50,5311.09,0
564,1,10,58,25174.88,0
565,1,10,59,818.0,0
566,0,10,47,37580.99,0
567,0,5,47,127.51,0
568,1,10,67,744.33,0
569,1,10,60,12992.48,0
570,1,10,57,3551.37,0
571,1,10,55,97547.15,3
572,1,10,80,15192.64,0
573,0,10,48,501.19,0
574,0,15,45,113649.64,3
575,1,10,54,0.0,0
576,0,10,55,224.27,0
577,0,10,45,0.0,0
578,1,10,61,39100.67,0
579,0,10,61,3461.21,0
580,0,10,67,14373.86,0
581,0,10,62,18391.37,0
582,1,10,168,604.79,0
583,0,10,68,7553.07,0
584,0,10,59,12217.6,0
585,1,10,72,1020.81,0
586,1,10,55,8026.78,0
587,1,10,56,1601.85,0
588,1,10,46,3150.61,0
589,0,10,57,0.79,0
590,0,10,48,213.88,0
591,1,10,81,46546.07,0
592,0,10,70,1874.61,0
593,0,10,55,12145.61,0
594,1,10,54,2872.65,0
595,0,10,57,347131.16,2
596,1,10,45,1574.17,0
597,0,10,60,31001.64,0
598,0,10,48,4874.85,0
599,1,10,61,0.0,0
600,0,10,52,556.84,0
601,1,10,60,2394.76,0
602,0,10,52,14893.4,0
603,0,10,57,89093.44,3
604,0,10,47,14384.87,0
605,0,10,54,281.32,0
606,1,10,68,63.67,0
607,0,10,57,66611.27,3
608,0,10,63,75.94,0
609,0,10,53,519.04,0
610,0,10,43,793.96,0
611,1,1,76,136.84,0
612,0,10,87,511.8,0
613,0,10,61,6844.86,0
614,0,10,80,37133.82,0
615,0,10,86,0.0,0
616,0,10,64,586.49,0
617,1,10,65,48523.96,0
618,1,10,50,10185.64,0
619,1,1,83,1071.29,0
620,1,10,65,18001.27,0
621,0,10,63,6318.18,0
622,0,10,56,30032.41,0
623,1,10,42,235.78,0
624,1,10,69,9499.76,0
625,1,10,68,28199.09,0
626,1,10,52,39848.32,0
627,1,10,48,78737.54,3
628,0,10,46,25259.02,0
629,0,10,56,13535.21,0
630,0,10,61,32654.63,0
631,1,10,51,7374.41,0
632,1,10,54,13157.0,0
633,0,10,55,10017.64,0
634,0,10,70,20543.5,0
635,0,10,51,2480.71,0
636,0,10,56,3758.59,0
637,0,10,58,4857.36,0
638,1,10,47,1878.2,0
639,0,10,69,8878.69,0
640,1,10,59,1882.6,0
641,0,10,53,483098.9,2
642,0,10,51,21814.1,0
643,1,10,62,514.08,0
644,0,10,57,77110.37,3
645,0,10,52,38284.35,0
646,1,10,67,3746.96,0
647,0,12,52,506212.5,2
648,1,10,56,2532.4,0
649,0,10,66,41597.68,0
650,0,10,53,94.19,0
651,0,10,70,2791.18,0
652,1,10,50,8882.55,0
